	Atrial_cardiomyocytes	Capillary_endothelium	Cardiac_neural_crest_cells_Schwann_progenitor_cells	Endothelium_pericytes_adventitia	Epicardial_cells	Epicardium-derived_cells	Erythrocytes_11	Erythrocytes_6	Fibroblast-like_cardiac_skeleton_connective_tissue	Fibroblast-like_larger_larger_vascular_development	Fibroblast-like_smaller_vascular_development	Immune_cells	Myoz2-enriched_cardiomyocytes	Smooth_muscle_cells_fibroblast-like	Ventricular_cardiomyocytes
X15x16	0.00946804	0.089716196	0.103624314	0.04192252	0.041281015	0.1308343	0.07252784	0.030366985	0.31417435	8.309778e-12	0.005235633	0.042664707	8.285343e-12	0.09002409	0.028160034
X15x17	1.8404233e-11	0.052498236	0.053354867	0.028185813	1.8453373e-11	0.044618	0.14486416	0.042703744	0.23807816	0.117324844	0.026327368	0.036716927	0.06555995	0.10974325	0.040024698
X15x20	1.1011455e-11	0.033218298	1.0988607e-11	1.1061323e-11	0.037767027	0.08998142	1.100289e-11	0.010624313	0.08008973	0.22941187	0.10971325	0.023598053	1.10542365e-11	0.385596	1.095832e-11
X15x21	0.009880379	0.048978854	0.02912607	0.051391408	0.0477185	0.09593936	0.09068271	0.045074493	0.02823858	0.04016829	0.058231395	0.11715783	0.040175732	0.24910244	0.048133906
X15x4	0.093436964	0.015750512	0.05383449	0.014931929	0.013798028	0.037901215	7.958232e-12	7.910018e-12	0.024738727	0.02075783	0.005629624	0.06618617	0.2139981	0.11490948	0.32412693
X15x5	0.08050996	0.2031197	9.697533e-12	0.020906536	9.681824e-12	0.06663435	0.015802065	9.663597e-12	0.044523105	0.016310595	9.743718e-12	0.03626612	0.21372004	0.06625431	0.23595317
X15x6	0.11976786	0.19979212	6.4303484e-12	0.028720181	0.016917065	6.436656e-12	0.13437636	6.427798e-12	6.4373316e-12	0.05578928	6.436889e-12	0.03741899	0.11307215	0.08576306	0.20838296
X15x7	0.1332423	0.15147366	0.027559327	0.056289855	6.4383577e-12	0.0076114824	0.01584246	6.438493e-12	0.022348162	0.012631527	0.0062397495	0.03270309	0.1730967	0.120521896	0.24043989
X15x8	0.08625264	0.12238596	0.045066778	0.039891053	0.005766798	0.028752012	0.08138803	0.059177916	0.034419827	0.02628214	8.081376e-12	0.024009049	0.14895442	0.08250899	0.2151444
X15x9	0.15354973	0.15283738	7.467092e-12	0.05369367	7.470782e-12	7.469043e-12	0.03195657	7.419887e-12	7.4707384e-12	7.445348e-12	0.0061390977	0.01801299	0.19759466	0.087462395	0.29875356
X16x10	0.027542805	0.12299561	0.042266153	0.0291277	9.1768225e-12	9.151583e-12	0.09055206	0.007309315	0.020195836	0.01628127	9.162813e-12	0.032490805	0.22809513	0.07622838	0.30691496
X16x11	0.014802183	0.08556467	0.03144399	0.062065065	8.207091e-12	0.02695865	0.038343757	8.177747e-12	0.05979472	0.044612534	8.217429e-12	0.034809973	0.258833	0.046995465	0.29577595
X16x12	0.061906498	0.07067702	8.191362e-12	0.05178231	8.195612e-12	8.2002564e-12	0.12859523	8.149845e-12	0.057708714	0.06392199	0.046624005	0.034828115	0.1822957	0.06033084	0.24132952
X16x13	0.08622628	0.017454417	1.3758546e-11	0.19635922	0.02273539	1.3708462e-11	1.3750308e-11	1.3693436e-11	0.031543415	0.064906634	1.3768048e-11	1.3756971e-11	0.23052198	0.041648194	0.30860445
X16x14	0.05308936	0.0075256946	0.07908538	0.10131874	0.025616251	0.20410271	0.038038965	1.75799e-11	0.04080269	1.760305e-11	0.067516424	0.027418347	0.12643206	0.045811523	0.18324184
X16x15	6.377786e-12	0.08315103	0.08539261	0.15280992	0.034625463	0.24138105	0.02915667	6.388415e-12	0.010846192	0.14580114	0.017305356	0.09504324	6.3531632e-12	0.08303669	0.021450581
X16x17	0.009222521	7.2187087e-12	0.05618239	0.058137275	0.058848433	0.04095727	0.16496064	0.13471305	0.081831664	0.09672468	7.2160793e-12	0.0711895	0.033454206	0.19377841	7.193913e-12
X16x20	0.010783445	0.034909744	0.0647057	0.01906081	0.03439039	0.04256932	0.2663183	0.2662676	0.01413023	0.016797587	5.8931263e-12	0.10655324	0.038063534	0.08086452	0.0045856
X16x3	0.014431097	0.020165393	0.05528071	0.13370149	0.0644042	0.14378424	0.035229284	0.00587386	0.032761108	0.06998538	0.0058224453	0.017529497	0.039098386	0.1233265	0.23860638
X16x4	0.09095334	0.0075498666	0.051568285	0.11225656	1.047307e-11	0.06013147	1.0413551e-11	0.025387965	0.019303221	0.020402387	1.0485362e-11	0.019333197	0.06791441	0.21289054	0.3123088
X16x5	0.10077747	0.010808079	0.07970911	0.062678166	9.745849e-12	0.054194115	9.721715e-12	0.007990471	9.745702e-12	0.09938299	0.05344641	0.030014114	0.17366438	0.060031164	0.26730356
X16x6	0.09545071	0.06222282	0.03624319	0.03321192	8.377323e-12	8.420223e-12	8.383845e-12	8.362013e-12	0.022308994	0.08300842	8.3974485e-12	0.023541177	0.22204117	0.10108593	0.3208856
